r1	NC_009925.0
r9006	NC_003295.0
r9007	NC_003295.1
r9008	NC_003295.2
r9009	NC_003295.3
r9010	NC_003295.4
r9011	NC_003296.10
r9012	NC_003296.11
r9013	NC_003296.12
r9014	NC_003296.13
r9015	NC_003296.14
r9016	NC_007641.0
r9017	NC_007641.1
r9018	NC_007641.2
r9019	NC_007641.3
r9020	NC_007641.4
r9021	NC_007643.10
r9022	NC_007643.11
r9023	NC_007643.12
r9024	NC_007643.13
r9025	NC_007643.14
r9026	NC_003103.0
r9027	NC_003103.1
r9028	NC_003103.2
r9029	NC_003103.3
r9030	NC_003103.4
r9031	NC_007109.0
r9032	NC_007109.1
r9033	NC_007109.2
r9034	NC_007109.3
r9035	NC_007109.4
r9036	NC_007110.10
r9037	NC_007110.11
r9038	NC_007110.12
r9039	NC_007110.13
r9040	NC_007110.14
r9041	NC_000963.0
r9042	NC_000963.1
r9043	NC_000963.2
r9044	NC_000963.3
r9045	NC_000963.4
r9046	NC_006142.0
r9047	NC_006142.1
r9048	NC_006142.2
r9049	NC_006142.3
r9050	NC_006142.4
r9051	NC_009053.0
r9052	NC_009053.1
r9053	NC_009053.2
r9054	NC_009053.3
r9055	NC_009053.4
r9056	NC_010278.0
r9057	NC_010278.1
r9058	NC_010278.2
r9059	NC_010278.3
r9060	NC_010278.4
r9061	NC_010939.0
r9062	NC_010939.1
r9063	NC_010939.2
r9064	NC_010939.3
r9065	NC_010939.4
r9066	NC_003997.0
r9067	NC_003997.1
r9068	NC_003997.2
r9069	NC_003997.3
r9070	NC_003997.4
r9071	NC_007322.0
r9072	NC_007322.1
r9073	NC_007322.2
r9074	NC_007322.3
r9075	NC_007322.4
r9076	NC_007323.10
r9077	NC_007323.11
r9078	NC_007323.12
r9079	NC_007323.13
r9080	NC_007323.14
r9081	NC_007530.20
r9082	NC_007530.21
r9083	NC_007530.22
r9084	NC_007530.23
r9085	NC_007530.24
r9086	NC_005945.0
r9087	NC_005945.1
r9088	NC_005945.2
r9089	NC_005945.3
r9090	NC_005945.4
r9091	NC_004722.0
r9092	NC_004722.1
r9093	NC_004722.2
r9094	NC_004722.3
r9095	NC_004722.4
r9096	NC_003909.0
r9097	NC_003909.1
r9098	NC_003909.2
r9099	NC_003909.3
r9100	NC_003909.4
r9101	NC_005707.10
r9102	NC_005707.11
r9103	NC_005707.12
r9104	NC_005707.13
r9105	NC_005707.14
r9106	NC_006274.0
r9107	NC_006274.1
r9108	NC_006274.2
r9109	NC_006274.3
r9110	NC_006274.4
r9111	NC_007103.10
r9112	NC_007103.11
r9113	NC_007103.12
r9114	NC_007103.13
r9115	NC_007103.14
r9116	NC_007105.20
r9117	NC_007105.21
r9118	NC_007105.22
r9119	NC_007105.23
r9120	NC_007105.24
r9121	NC_009674.0
r9122	NC_009674.1
r9123	NC_009674.2
r9124	NC_009674.3
r9125	NC_009674.4
r9126	NC_006270.0
r9127	NC_006270.1
r9128	NC_006270.2
r9129	NC_006270.3
r9130	NC_006270.4
r9131	NC_006322.0
r9132	NC_006322.1
r9133	NC_006322.2
r9134	NC_006322.3
r9135	NC_006322.4
r9136	NC_008598.0
r9137	NC_008598.1
r9138	NC_008598.2
r9139	NC_008598.3
r9140	NC_008598.4
r9141	NC_008600.10
r9142	NC_008600.11
r9143	NC_008600.12
r9144	NC_008600.13
r9145	NC_008600.14
r9146	NC_005957.0
r9147	NC_005957.1
r9148	NC_005957.2
r9149	NC_005957.3
r9150	NC_005957.4
r9151	NC_006578.10
r9152	NC_006578.11
r9153	NC_006578.12
r9154	NC_006578.13
r9155	NC_006578.14
r9156	NC_003228.0
r9157	NC_003228.1
r9158	NC_003228.2
r9159	NC_003228.3
r9160	NC_003228.4
r9161	NC_006347.0
r9162	NC_006347.1
r9163	NC_006347.2
r9164	NC_006347.3
r9165	NC_006347.4
r9166	NC_004307.0
r9167	NC_004307.1
r9168	NC_004307.2
r9169	NC_004307.3
r9170	NC_004307.4
r9171	NC_010816.0
r9172	NC_010816.1
r9173	NC_010816.2
r9174	NC_010816.3
r9175	NC_010816.4
r9176	NC_006932.0
r9177	NC_006932.1
r9178	NC_006932.2
r9179	NC_006932.3
r9180	NC_006932.4
r9181	NC_006933.10
r9182	NC_006933.11
r9183	NC_006933.12
r9184	NC_006933.13
r9185	NC_006933.14
r9186	NC_010742.0
r9187	NC_010742.1
r9188	NC_010742.2
r9189	NC_010742.3
r9190	NC_010742.4
r9191	NC_010740.10
r9192	NC_010740.11
r9193	NC_010740.12
r9194	NC_010740.13
r9195	NC_010740.14
r9196	NC_007618.0
r9197	NC_007618.1
r9198	NC_007618.2
r9199	NC_007618.3
r9200	NC_007618.4
r9201	NC_007624.10
r9202	NC_007624.11
r9203	NC_007624.12
r9204	NC_007624.13
r9205	NC_007624.14
r9206	NC_003317.0
r9207	NC_003317.1
r9208	NC_003317.2
r9209	NC_003317.3
r9210	NC_003317.4
r9211	NC_003318.10
r9212	NC_003318.11
r9213	NC_003318.12
r9214	NC_003318.13
r9215	NC_003318.14
r9216	NC_004310.0
r9217	NC_004310.1
r9218	NC_004310.2
r9219	NC_004310.3
r9220	NC_004310.4
r9221	NC_004311.10
r9222	NC_004311.11
r9223	NC_004311.12
r9224	NC_004311.13
r9225	NC_004311.14
r9226	NC_010167.0
r9227	NC_010167.1
r9228	NC_010167.2
r9229	NC_010167.3
r9230	NC_010167.4
r9231	NC_010169.10
r9232	NC_010169.11
r9233	NC_010169.12
r9234	NC_010169.13
r9235	NC_010169.14
r9236	NC_002528.0
r9237	NC_002528.1
r9238	NC_002528.2
r9239	NC_002528.3
r9240	NC_002528.4
r9241	NC_008513.0
r9242	NC_008513.1
r9243	NC_008513.2
r9244	NC_008513.3
r9245	NC_008513.4
r9246	NC_004061.0
r9247	NC_004061.1
r9248	NC_004061.2
r9249	NC_004061.3
r9250	NC_004061.4
r9251	NC_004545.0
r9252	NC_004545.1
r9253	NC_004545.2
r9254	NC_004545.3
r9255	NC_004545.4
r9256	NC_008060.0
r9257	NC_008060.1
r9258	NC_008060.2
r9259	NC_008060.3
r9260	NC_008060.4
r9261	NC_008061.10
r9262	NC_008061.11
r9263	NC_008061.12
r9264	NC_008061.13
r9265	NC_008061.14
r9266	NC_008062.20
r9267	NC_008062.21
r9268	NC_008062.22
r9269	NC_008062.23
r9270	NC_008062.24
r9271	NC_008542.0
r9272	NC_008542.1
r9273	NC_008542.2
r9274	NC_008542.3
r9275	NC_008542.4
r9276	NC_008543.10
r9277	NC_008543.11
r9278	NC_008543.12
r9279	NC_008543.13
r9280	NC_008543.14
r9281	NC_008544.20
r9282	NC_008544.21
r9283	NC_008544.22
r9284	NC_008544.23
r9285	NC_008544.24
r9286	NC_008545.30
r9287	NC_008545.31
r9288	NC_008545.32
r9289	NC_008545.33
r9290	NC_008545.34
r9291	NC_011003.0
r9292	NC_011003.1
r9293	NC_011003.2
r9294	NC_011003.3
r9295	NC_011003.4
r9296	NC_011002.10
r9297	NC_011002.11
r9298	NC_011002.12
r9299	NC_011002.13
r9300	NC_011002.14
r9301	NC_011000.20
r9302	NC_011000.21
r9303	NC_011000.22
r9304	NC_011000.23
r9305	NC_011000.24
r9306	NC_011001.30
r9307	NC_011001.31
r9308	NC_011001.32
r9309	NC_011001.33
r9310	NC_011001.34
r9311	NC_010508.0
r9312	NC_010508.1
r9313	NC_010508.2
r9314	NC_010508.3
r9315	NC_010508.4
r9316	NC_010512.10
r9317	NC_010512.11
r9318	NC_010512.12
r9319	NC_010512.13
r9320	NC_010512.14
r9321	NC_010515.20
r9322	NC_010515.21
r9323	NC_010515.22
r9324	NC_010515.23
r9325	NC_010515.24
r9326	NC_006348.0
r9327	NC_006348.1
r9328	NC_006348.2
r9329	NC_006348.3
r9330	NC_006348.4
r9331	NC_006349.10
r9332	NC_006349.11
r9333	NC_006349.12
r9334	NC_006349.13
r9335	NC_006349.14
r9336	NC_008835.0
r9337	NC_008835.1
r9338	NC_008835.2
r9339	NC_008835.3
r9340	NC_008835.4
r9341	NC_008836.10
r9342	NC_008836.11
r9343	NC_008836.12
r9344	NC_008836.13
r9345	NC_008836.14
r9346	NC_009079.0
r9347	NC_009079.1
r9348	NC_009079.2
r9349	NC_009079.3
r9350	NC_009079.4
r9351	NC_009080.10
r9352	NC_009080.11
r9353	NC_009080.12
r9354	NC_009080.13
r9355	NC_009080.14
r9356	NC_008784.0
r9357	NC_008784.1
r9358	NC_008784.2
r9359	NC_008784.3
r9360	NC_008784.4
r9361	NC_008785.10
r9362	NC_008785.11
r9363	NC_008785.12
r9364	NC_008785.13
r9365	NC_008785.14
r9366	NC_010070.0
r9367	NC_010070.1
r9368	NC_010070.2
r9369	NC_010070.3
r9370	NC_010070.4
r9371	NC_010086.10
r9372	NC_010086.11
r9373	NC_010086.12
r9374	NC_010086.13
r9375	NC_010086.14
r9376	NC_010087.20
r9377	NC_010087.21
r9378	NC_010087.22
r9379	NC_010087.23
r9380	NC_010087.24
r9381	NC_010084.30
r9382	NC_010084.31
r9383	NC_010084.32
r9384	NC_010084.33
r9385	NC_010084.34
r9386	NC_010801.0
r9387	NC_010801.1
r9388	NC_010801.2
r9389	NC_010801.3
r9390	NC_010801.4
r9391	NC_010802.10
r9392	NC_010802.11
r9393	NC_010802.12
r9394	NC_010802.13
r9395	NC_010802.14
r9396	NC_010804.20
r9397	NC_010804.21
r9398	NC_010804.22
r9399	NC_010804.23
r9400	NC_010804.24
r9401	NC_010805.30
r9402	NC_010805.31
r9403	NC_010805.32
r9404	NC_010805.33
r9405	NC_010805.34
r9406	NC_009076.0
r9407	NC_009076.1
r9408	NC_009076.2
r9409	NC_009076.3
r9410	NC_009076.4
r9411	NC_009078.10
r9412	NC_009078.11
r9413	NC_009078.12
r9414	NC_009078.13
r9415	NC_009078.14
r9416	NC_007434.0
r9417	NC_007434.1
r9418	NC_007434.2
r9419	NC_007434.3
r9420	NC_007434.4
r9421	NC_007435.10
r9422	NC_007435.11
r9423	NC_007435.12
r9424	NC_007435.13
r9425	NC_007435.14
r9426	NC_009074.0
r9427	NC_009074.1
r9428	NC_009074.2
r9429	NC_009074.3
r9430	NC_009074.4
r9431	NC_009075.10
r9432	NC_009075.11
r9433	NC_009075.12
r9434	NC_009075.13
r9435	NC_009075.14
r9436	NC_006350.0
r9437	NC_006350.1
r9438	NC_006350.2
r9439	NC_006350.3
r9440	NC_006350.4
r9441	NC_006351.10
r9442	NC_006351.11
r9443	NC_006351.12
r9444	NC_006351.13
r9445	NC_006351.14
r9446	NC_002163.0
r9447	NC_002163.1
r9448	NC_002163.2
r9449	NC_002163.3
r9450	NC_002163.4
r9451	NC_008770.0
r9452	NC_008770.1
r9453	NC_008770.2
r9454	NC_008770.3
r9455	NC_008770.4
r9456	NC_008787.10
r9457	NC_008787.11
r9458	NC_008787.12
r9459	NC_008787.13
r9460	NC_008787.14
r9461	NC_008790.20
r9462	NC_008790.21
r9463	NC_008790.22
r9464	NC_008790.23
r9465	NC_008790.24
r9466	NC_009839.0
r9467	NC_009839.1
r9468	NC_009839.2
r9469	NC_009839.3
r9470	NC_009839.4
r9471	NC_003912.0
r9472	NC_003912.1
r9473	NC_003912.2
r9474	NC_003912.3
r9475	NC_003912.4
r9476	NC_009707.0
r9477	NC_009707.1
r9478	NC_009707.2
r9479	NC_009707.3
r9480	NC_009707.4
r9481	NC_000117.0
r9482	NC_000117.1
r9483	NC_000117.2
r9484	NC_000117.3
r9485	NC_000117.4
r9486	NC_010287.0
r9487	NC_010287.1
r9488	NC_010287.2
r9489	NC_010287.3
r9490	NC_010287.4
r9491	NC_007429.0
r9492	NC_007429.1
r9493	NC_007429.2
r9494	NC_007429.3
r9495	NC_007429.4
r9496	NC_010280.0
r9497	NC_010280.1
r9498	NC_010280.2
r9499	NC_010280.3
r9500	NC_010280.4
r9501	NC_002179.0
r9502	NC_002179.1
r9503	NC_002179.2
r9504	NC_002179.3
r9505	NC_002179.4
r9506	NC_000922.0
r9507	NC_000922.1
r9508	NC_000922.2
r9509	NC_000922.3
r9510	NC_000922.4
r9511	NC_002491.0
r9512	NC_002491.1
r9513	NC_002491.2
r9514	NC_002491.3
r9515	NC_002491.4
r9516	NC_005043.0
r9517	NC_005043.1
r9518	NC_005043.2
r9519	NC_005043.3
r9520	NC_005043.4
r9521	NC_010831.0
r9522	NC_010831.1
r9523	NC_010831.2
r9524	NC_010831.3
r9525	NC_010831.4
r9526	NC_008639.0
r9527	NC_008639.1
r9528	NC_008639.2
r9529	NC_008639.3
r9530	NC_008639.4
r9531	NC_009480.0
r9532	NC_009480.1
r9533	NC_009480.2
r9534	NC_009480.3
r9535	NC_009480.4
r9536	NC_009479.10
r9537	NC_009479.11
r9538	NC_009479.12
r9539	NC_009479.13
r9540	NC_009479.14
r9541	NC_010407.0
r9542	NC_010407.1
r9543	NC_010407.2
r9544	NC_010407.3
r9545	NC_010407.4
r9546	NC_010408.10
r9547	NC_010408.11
r9548	NC_010408.12
r9549	NC_010408.13
r9550	NC_010408.14
r9551	NC_010399.20
r9552	NC_010399.21
r9553	NC_010399.22
r9554	NC_010399.23
r9555	NC_010399.24
r9556	NC_009495.0
r9557	NC_009495.1
r9558	NC_009495.2
r9559	NC_009495.3
r9560	NC_009495.4
r9561	NC_010418.0
r9562	NC_010418.1
r9563	NC_010418.2
r9564	NC_010418.3
r9565	NC_010418.4
r9566	NC_010520.10
r9567	NC_010520.11
r9568	NC_010520.12
r9569	NC_010520.13
r9570	NC_010520.14
r9571	NC_009697.0
r9572	NC_009697.1
r9573	NC_009697.2
r9574	NC_009697.3
r9575	NC_009697.4
r9576	NC_009698.0
r9577	NC_009698.1
r9578	NC_009698.2
r9579	NC_009698.3
r9580	NC_009698.4
r9581	NC_010379.0
r9582	NC_010379.1
r9583	NC_010379.2
r9584	NC_010379.3
r9585	NC_010379.4
r9586	NC_010516.10
r9587	NC_010516.11
r9588	NC_010516.12
r9589	NC_010516.13
r9590	NC_010516.14
r9591	NC_010674.0
r9592	NC_010674.1
r9593	NC_010674.2
r9594	NC_010674.3
r9595	NC_010674.4
r9596	NC_010680.10
r9597	NC_010680.11
r9598	NC_010680.12
r9599	NC_010680.13
r9600	NC_010680.14
r9601	NC_010723.0
r9602	NC_010723.1
r9603	NC_010723.2
r9604	NC_010723.3
r9605	NC_010723.4
r9606	NC_009699.0
r9607	NC_009699.1
r9608	NC_009699.2
r9609	NC_009699.3
r9610	NC_009699.4
r9611	NC_003042.0
r9612	NC_003042.1
r9613	NC_003042.2
r9614	NC_003042.3
r9615	NC_003042.4
r9616	NC_003366.10
r9617	NC_003366.11
r9618	NC_003366.12
r9619	NC_003366.13
r9620	NC_003366.14
r9621	NC_008261.0
r9622	NC_008261.1
r9623	NC_008261.2
r9624	NC_008261.3
r9625	NC_008261.4
r9626	NC_008262.0
r9627	NC_008262.1
r9628	NC_008262.2
r9629	NC_008262.3
r9630	NC_008262.4
r9631	NC_008265.10
r9632	NC_008265.11
r9633	NC_008265.12
r9634	NC_008265.13
r9635	NC_008265.14
r9636	NC_006958.0
r9637	NC_006958.1
r9638	NC_006958.2
r9639	NC_006958.3
r9640	NC_006958.4
r9641	NC_003450.0
r9642	NC_003450.1
r9643	NC_003450.2
r9644	NC_003450.3
r9645	NC_003450.4
r9646	NC_009342.0
r9647	NC_009342.1
r9648	NC_009342.2
r9649	NC_009342.3
r9650	NC_009342.4
r9651	NC_009726.0
r9652	NC_009726.1
r9653	NC_009726.2
r9654	NC_009726.3
r9655	NC_009726.4
r9656	NC_009727.10
r9657	NC_009727.11
r9658	NC_009727.12
r9659	NC_009727.13
r9660	NC_009727.14
r9661	NC_010117.0
r9662	NC_010117.1
r9663	NC_010117.2
r9664	NC_010117.3
r9665	NC_010117.4
r9666	NC_002971.0
r9667	NC_002971.1
r9668	NC_002971.2
r9669	NC_002971.3
r9670	NC_002971.4
r9671	NC_008741.0
r9672	NC_008741.1
r9673	NC_008741.2
r9674	NC_008741.3
r9675	NC_008741.4
r9676	NC_008751.10
r9677	NC_008751.11
r9678	NC_008751.12
r9679	NC_008751.13
r9680	NC_008751.14
r9681	NC_002937.0
r9682	NC_002937.1
r9683	NC_002937.2
r9684	NC_002937.3
r9685	NC_002937.4
r9686	NC_005863.10
r9687	NC_005863.11
r9688	NC_005863.12
r9689	NC_005863.13
r9690	NC_005863.14
r9691	NC_006831.0
r9692	NC_006831.1
r9693	NC_006831.2
r9694	NC_006831.3
r9695	NC_006831.4
r9696	NC_005295.0
r9697	NC_005295.1
r9698	NC_005295.2
r9699	NC_005295.3
r9700	NC_005295.4
r9701	NC_006832.0
r9702	NC_006832.1
r9703	NC_006832.2
r9704	NC_006832.3
r9705	NC_006832.4
r9706	NC_008253.0
r9707	NC_008253.1
r9708	NC_008253.2
r9709	NC_008253.3
r9710	NC_008253.4
r9711	NC_008563.0
r9712	NC_008563.1
r9713	NC_008563.2
r9714	NC_008563.3
r9715	NC_008563.4
r9716	NC_009838.10
r9717	NC_009838.11
r9718	NC_009838.12
r9719	NC_009838.13
r9720	NC_009838.14
r9721	NC_009837.20
r9722	NC_009837.21
r9723	NC_009837.22
r9724	NC_009837.23
r9725	NC_009837.24
r9726	NC_004431.0
r9727	NC_004431.1
r9728	NC_004431.2
r9729	NC_004431.3
r9730	NC_004431.4
r9731	NC_010468.0
r9732	NC_010468.1
r9733	NC_010468.2
r9734	NC_010468.3
r9735	NC_010468.4
r9736	NC_009786.0
r9737	NC_009786.1
r9738	NC_009786.2
r9739	NC_009786.3
r9740	NC_009786.4
r9741	NC_009788.10
r9742	NC_009788.11
r9743	NC_009788.12
r9744	NC_009788.13
r9745	NC_009788.14
r9746	NC_009790.20
r9747	NC_009790.21
r9748	NC_009790.22
r9749	NC_009790.23
r9750	NC_009790.24
r9751	NC_009801.30
r9752	NC_009801.31
r9753	NC_009801.32
r9754	NC_009801.33
r9755	NC_009801.34
r9756	NC_009800.0
r9757	NC_009800.1
r9758	NC_009800.2
r9759	NC_009800.3
r9760	NC_009800.4
r9761	NC_000913.0
r9762	NC_000913.1
r9763	NC_000913.2
r9764	NC_000913.3
r9765	NC_000913.4
r9766	NC_010473.0
r9767	NC_010473.1
r9768	NC_010473.2
r9769	NC_010473.3
r9770	NC_010473.4
r9771	NC_002128.0
r9772	NC_002128.1
r9773	NC_002128.2
r9774	NC_002128.3
r9775	NC_002128.4
r9776	NC_002695.10
r9777	NC_002695.11
r9778	NC_002695.12
r9779	NC_002695.13
r9780	NC_002695.14
r9781	NC_002655.0
r9782	NC_002655.1
r9783	NC_002655.2
r9784	NC_002655.3
r9785	NC_002655.4
r9786	NC_007414.10
r9787	NC_007414.11
r9788	NC_007414.12
r9789	NC_007414.13
r9790	NC_007414.14
r9791	NC_011350.0
r9792	NC_011350.1
r9793	NC_011350.2
r9794	NC_011350.3
r9795	NC_011350.4
r9796	NC_011353.10
r9797	NC_011353.11
r9798	NC_011353.12
r9799	NC_011353.13
r9800	NC_011353.14
r9801	NC_011351.20
r9802	NC_011351.21
r9803	NC_011351.22
r9804	NC_011351.23
r9805	NC_011351.24
r9806	NC_011413.0
r9807	NC_011413.1
r9808	NC_011413.2
r9809	NC_011413.3
r9810	NC_011413.4
r9811	NC_011415.10
r9812	NC_011415.11
r9813	NC_011415.12
r9814	NC_011415.13
r9815	NC_011415.14
r9816	NC_011416.20
r9817	NC_011416.21
r9818	NC_011416.22
r9819	NC_011416.23
r9820	NC_011416.24
r9821	NC_011419.30
r9822	NC_011419.31
r9823	NC_011419.32
r9824	NC_011419.33
r9825	NC_011419.34
r9826	NC_010488.0
r9827	NC_010488.1
r9828	NC_010488.2
r9829	NC_010488.3
r9830	NC_010488.4
r9831	NC_010498.10
r9832	NC_010498.11
r9833	NC_010498.12
r9834	NC_010498.13
r9835	NC_010498.14
r9836	NC_007946.0
r9837	NC_007946.1
r9838	NC_007946.2
r9839	NC_007946.3
r9840	NC_007946.4
r9841	NC_007941.10
r9842	NC_007941.11
r9843	NC_007941.12
r9844	NC_007941.13
r9845	NC_007941.14
r9846	AC_000091.0
r9847	AC_000091.1
r9848	AC_000091.2
r9849	AC_000091.3
r9850	AC_000091.4
r9851	NC_000091.10
r9852	NC_000091.11
r9853	NC_000091.12
r9854	NC_000091.13
r9855	NC_000091.14
r9856	NC_008245.0
r9857	NC_008245.1
r9858	NC_008245.2
r9859	NC_008245.3
r9860	NC_008245.4
r9861	NC_009257.0
r9862	NC_009257.1
r9863	NC_009257.2
r9864	NC_009257.3
r9865	NC_009257.4
r9866	NC_007880.0
r9867	NC_007880.1
r9868	NC_007880.2
r9869	NC_007880.3
r9870	NC_007880.4
r9871	NC_009749.0
r9872	NC_009749.1
r9873	NC_009749.2
r9874	NC_009749.3
r9875	NC_009749.4
r9876	NC_008369.0
r9877	NC_008369.1
r9878	NC_008369.2
r9879	NC_008369.3
r9880	NC_008369.4
r9881	NC_010677.0
r9882	NC_010677.1
r9883	NC_010677.2
r9884	NC_010677.3
r9885	NC_010677.4
r9886	NC_008601.0
r9887	NC_008601.1
r9888	NC_008601.2
r9889	NC_008601.3
r9890	NC_008601.4
r9891	NC_006570.0
r9892	NC_006570.1
r9893	NC_006570.2
r9894	NC_006570.3
r9895	NC_006570.4
r9896	NC_000907.0
r9897	NC_000907.1
r9898	NC_000907.2
r9899	NC_000907.3
r9900	NC_000907.4
r9901	NC_007146.0
r9902	NC_007146.1
r9903	NC_007146.2
r9904	NC_007146.3
r9905	NC_007146.4
r9906	NC_009566.0
r9907	NC_009566.1
r9908	NC_009566.2
r9909	NC_009566.3
r9910	NC_009566.4
r9911	NC_009567.0
r9912	NC_009567.1
r9913	NC_009567.2
r9914	NC_009567.3
r9915	NC_009567.4
r9916	NC_008309.0
r9917	NC_008309.1
r9918	NC_008309.2
r9919	NC_008309.3
r9920	NC_008309.4
r9921	NC_010519.0
r9922	NC_010519.1
r9923	NC_010519.2
r9924	NC_010519.3
r9925	NC_010519.4
r9926	NC_000915.0
r9927	NC_000915.1
r9928	NC_000915.2
r9929	NC_000915.3
r9930	NC_000915.4
r9931	NC_011333.0
r9932	NC_011333.1
r9933	NC_011333.2
r9934	NC_011333.3
r9935	NC_011333.4
r9936	NC_008086.0
r9937	NC_008086.1
r9938	NC_008086.2
r9939	NC_008086.3
r9940	NC_008086.4
r9941	NC_000921.0
r9942	NC_000921.1
r9943	NC_000921.2
r9944	NC_000921.3
r9945	NC_000921.4
r9946	NC_011498.0
r9947	NC_011498.1
r9948	NC_011498.2
r9949	NC_011498.3
r9950	NC_011498.4
r9951	NC_010698.0
r9952	NC_010698.1
r9953	NC_010698.2
r9954	NC_010698.3
r9955	NC_010698.4
r9956	NC_011283.0
r9957	NC_011283.1
r9958	NC_011283.2
r9959	NC_011283.3
r9960	NC_011283.4
r9961	NC_011282.10
r9962	NC_011282.11
r9963	NC_011282.12
r9964	NC_011282.13
r9965	NC_011282.14
r9966	NC_011281.20
r9967	NC_011281.21
r9968	NC_011281.22
r9969	NC_011281.23
r9970	NC_011281.24
r9971	NC_009648.0
r9972	NC_009648.1
r9973	NC_009648.2
r9974	NC_009648.3
r9975	NC_009648.4
r9976	NC_009649.10
r9977	NC_009649.11
r9978	NC_009649.12
r9979	NC_009649.13
r9980	NC_009649.14
r9981	NC_009650.20
r9982	NC_009650.21
r9983	NC_009650.22
r9984	NC_009650.23
r9985	NC_009650.24
r9986	NC_009651.30
r9987	NC_009651.31
r9988	NC_009651.32
r9989	NC_009651.33
r9990	NC_009651.34
r9991	NC_010999.0
r9992	NC_010999.1
r9993	NC_010999.2
r9994	NC_010999.3
r9995	NC_010999.4
r9996	NC_008526.0
r9997	NC_008526.1
r9998	NC_008526.2
r9999	NC_008526.3
r10000	NC_008526.4
r10001	NC_008054.0
r10002	NC_008054.1
r10003	NC_008054.2
r10004	NC_008054.3
r10005	NC_008054.4
r10006	NC_008529.0
r10007	NC_008529.1
r10008	NC_008529.2
r10009	NC_008529.3
r10010	NC_008529.4
r10011	NC_009513.0
r10012	NC_009513.1
r10013	NC_009513.2
r10014	NC_009513.3
r10015	NC_009513.4
r10016	NC_010609.0
r10017	NC_010609.1
r10018	NC_010609.2
r10019	NC_010609.3
r10020	NC_010609.4
r10021	NC_002662.0
r10022	NC_002662.1
r10023	NC_002662.2
r10024	NC_002662.3
r10025	NC_002662.4
r10026	NC_009004.0
r10027	NC_009004.1
r10028	NC_009004.2
r10029	NC_009004.3
r10030	NC_009004.4
r10031	NC_008505.0
r10032	NC_008505.1
r10033	NC_008505.2
r10034	NC_008505.3
r10035	NC_008505.4
r10036	NC_008527.10
r10037	NC_008527.11
r10038	NC_008527.12
r10039	NC_008527.13
r10040	NC_008527.14
r10041	NC_009494.0
r10042	NC_009494.1
r10043	NC_009494.2
r10044	NC_009494.3
r10045	NC_009494.4
r10046	NC_006366.0
r10047	NC_006366.1
r10048	NC_006366.2
r10049	NC_006366.3
r10050	NC_006366.4
r10051	NC_006369.10
r10052	NC_006369.11
r10053	NC_006369.12
r10054	NC_006369.13
r10055	NC_006369.14
r10056	NC_006365.0
r10057	NC_006365.1
r10058	NC_006365.2
r10059	NC_006365.3
r10060	NC_006365.4
r10061	NC_006368.10
r10062	NC_006368.11
r10063	NC_006368.12
r10064	NC_006368.13
r10065	NC_006368.14
r10066	NC_002942.0
r10067	NC_002942.1
r10068	NC_002942.2
r10069	NC_002942.3
r10070	NC_002942.4
r10071	NC_010842.0
r10072	NC_010842.1
r10073	NC_010842.2
r10074	NC_010842.3
r10075	NC_010842.4
r10076	NC_010845.10
r10077	NC_010845.11
r10078	NC_010845.12
r10079	NC_010845.13
r10080	NC_010845.14
r10081	NC_010846.20
r10082	NC_010846.21
r10083	NC_010846.22
r10084	NC_010846.23
r10085	NC_010846.24
r10086	NC_010602.0
r10087	NC_010602.1
r10088	NC_010602.2
r10089	NC_010602.3
r10090	NC_010602.4
r10091	NC_010843.10
r10092	NC_010843.11
r10093	NC_010843.12
r10094	NC_010843.13
r10095	NC_010843.14
r10096	NC_010844.20
r10097	NC_010844.21
r10098	NC_010844.22
r10099	NC_010844.23
r10100	NC_010844.24
r10101	NC_008510.0
r10102	NC_008510.1
r10103	NC_008510.2
r10104	NC_008510.3
r10105	NC_008510.4
r10106	NC_008511.10
r10107	NC_008511.11
r10108	NC_008511.12
r10109	NC_008511.13
r10110	NC_008511.14
r10111	NC_008508.0
r10112	NC_008508.1
r10113	NC_008508.2
r10114	NC_008508.3
r10115	NC_008508.4
r10116	NC_008509.10
r10117	NC_008509.11
r10118	NC_008509.12
r10119	NC_008509.13
r10120	NC_008509.14
r10121	NC_005823.0
r10122	NC_005823.1
r10123	NC_005823.2
r10124	NC_005823.3
r10125	NC_005823.4
r10126	NC_005824.10
r10127	NC_005824.11
r10128	NC_005824.12
r10129	NC_005824.13
r10130	NC_005824.14
r10131	NC_004342.0
r10132	NC_004342.1
r10133	NC_004342.2
r10134	NC_004342.3
r10135	NC_004342.4
r10136	NC_004343.10
r10137	NC_004343.11
r10138	NC_004343.12
r10139	NC_004343.13
r10140	NC_004343.14
r10141	NC_002973.0
r10142	NC_002973.1
r10143	NC_002973.2
r10144	NC_002973.3
r10145	NC_002973.4
r10146	NC_003210.0
r10147	NC_003210.1
r10148	NC_003210.2
r10149	NC_003210.3
r10150	NC_003210.4
r10151	NC_009135.0
r10152	NC_009135.1
r10153	NC_009135.2
r10154	NC_009135.3
r10155	NC_009135.4
r10156	NC_009975.0
r10157	NC_009975.1
r10158	NC_009975.2
r10159	NC_009975.3
r10160	NC_009975.4
r10161	NC_009637.0
r10162	NC_009637.1
r10163	NC_009637.2
r10164	NC_009637.3
r10165	NC_009637.4
r10166	NC_005791.0
r10167	NC_005791.1
r10168	NC_005791.2
r10169	NC_005791.3
r10170	NC_005791.4
