NC_008387	Flavobacterium psychrophilum JIP02 86
NC_005957	Bacillus thuringiensis serovar konkukian str. 97 27
NC_005042	Pseudomonas syringae pv. phaseolicola 1448A
NC_008542	Burkholderia cenocepacia HI2424
NC_003197	Lactobacillus plantarum WCFS1
NC_007347	Rhizobium leguminosarum bv. viciae 3841
NC_010554	Rickettsia canadensis str. McKiel
NC_007964	Chelativorans sp. BNC1
NC_006397	Thermoanaerobacter tengcongensis MB4
NC_010606	Acidothermus cellulolyticus 11B
NC_000956	Caulobacter crescentus CB15
NC_010510	Chlorobaculum parvum NCIB 8327
NC_006366	Methanococcus maripaludis C5
NC_008382	Rickettsia bellii RML369 C
NC_010366	Methylobacterium sp. 4 46
NC_010571	Candidatus Phytoplasma mali
NC_006842	Acidiphilium cryptum JF 5
NC_009091	Ralstonia eutropha JMP134
NC_009465	Polynucleobacter necessarius subsp. asymbioticus QLW P1DMWA 1
NC_008565	Methanococcus aeolicus Nankai 3
NC_008010	Oligotropha carboxidovorans OM5
NC_003364	Rhodoferax ferrireducens T118
NC_009717	Borrelia afzelii PKo
NC_002971	Coxiella burnetii RSA 493
NC_009637	Neisseria meningitidis MC58
NC_007350	Rickettsia typhi str. Wilmington
NC_003923	Streptococcus pneumoniae CGSP14
NC_008596	Desulfotalea psychrophila LSv54
NC_005824	Mycoplasma hyopneumoniae 7448
NC_004193	Colwellia psychrerythraea 34H
NC_009350	Archaeoglobus fulgidus DSM 4304
NC_007168	Mycobacterium ulcerans Agy99
NC_009715	Enterobacter sp. 638
NC_003063	Aster yellows witches  broom phytoplasma AYWB
NC_008554	Dinoroseobacter shibae DFL 12
NC_003276	Polaromonas naphthalenivorans CJ2
NC_008312	Serratia proteamaculans 568
NC_004556	Vibrio vulnificus CMCP6
NC_006139	Halobacterium salinarum R1
NC_007802	Mycoplasma pulmonis UAB CTIP
NC_009142	Mycobacterium sp. KMS
NC_009959	Rhodospirillum rubrum ATCC 11170
NC_008386	Parabacteroides distasonis ATCC 8503
NC_009697	Clostridium botulinum A str. ATCC 19397
NC_009832	Burkholderia xenovorans LB400
NC_005810	Treponema pallidum subsp. pallidum SS14
NC_009427	Mycoplasma penetrans HF 2
NC_009839	Campylobacter jejuni subsp. jejuni 81116
NC_009378	Thermus thermophilus HB8
NC_011061	Cronobacter sakazakii ATCC BAA 894
NC_007759	Chelativorans sp. BNC1
NC_003384	Lactobacillus acidophilus NCFM
NC_003450	Corynebacterium glutamicum ATCC 13032
NC_003869	Shewanella sp. ANA 3
NC_008800	Vibrio harveyi ATCC BAA 1116
NC_010296	Delftia acidovorans SPH 1
NC_009479	Clavibacter michiganensis subsp. michiganensis NCPPB 382
NC_002754	Bacillus clausii KSM K16
NC_009931	Agrobacterium tumefaciens str. C58
NC_010338	Phenylobacterium zucineum HLK1
NC_007763	Rhodobacter sphaeroides 2.4.1
NC_010729	Pseudomonas fluorescens Pf0 1
NC_003318	Brucella melitensis bv. 1 str. 16M
NC_011413	Haemophilus influenzae Rd KW20
NC_008378	Rhodopseudomonas palustris BisB18
NC_009035	Staphylococcus aureus subsp. aureus Mu3
NC_002976	Streptococcus pyogenes MGAS5005
NC_008060	Burkholderia cenocepacia AU 1054
NC_010545	Ralstonia pickettii 12J
NC_009077	Methanobrevibacter smithii ATCC 35061
NC_008505	Leptospira interrogans serovar Lai str. 56601
NC_000919	Vibrio vulnificus YJ016
NC_006530	Cupriavidus metallidurans CH34
NC_009719	Vibrio parahaemolyticus RIMD 2210633
NC_007414	Francisella tularensis subsp. tularensis SCHU S4
NC_000912	Photobacterium profundum SS9
NC_010516	Clostridium botulinum B1 str. Okra
NC_006155	Yersinia pestis biovar Microtus str. 91001
NC_002978	Geobacillus kaustophilus HTA426
NC_005877	Jannaschia sp. CCS1
NC_009329	Xanthobacter autotrophicus Py2
NC_004663	Staphylococcus haemolyticus JCSC1435
NC_009620	Burkholderia vietnamiensis G4
NC_011026	Roseiflexus castenholzii DSM 13941
NC_007295	Prochlorococcus marinus str. NATL1A
NC_010525	Geobacter bemidjiensis Bem
NC_004603	Enterococcus faecalis V583
NC_007912	Moorella thermoacetica ATCC 39073
NC_010169	Brucella suis ATCC 23445
NC_007322	Bacillus anthracis str.  Ames Ancestor 
NC_010631	Kocuria rhizophila DC2201
NC_007613	Stenotrophomonas maltophilia K279a
NC_006814	Shigella dysenteriae Sd197
NC_002608	Sodalis glossinidius str.  morsitans 
NC_008785	Burkholderia mallei SAVP1
NC_009651	Leptospira biflexa serovar Patoc strain  Patoc 1  Paris  
NC_007681	Herpetosiphon aurantiacus DSM 785
NC_008741	Desulfovibrio vulgaris DP4
NC_010519	Lactobacillus reuteri JCM 1112
NC_009434	Nitrosomonas eutropha C91
NC_008704	Roseiflexus sp. RS 1
NC_009662	Frankia alni ACN14a
NC_006087	Chlamydophila felis Fe C 56
NC_007952	Deinococcus geothermalis DSM 11300
NC_009792	Wolinella succinogenes DSM 1740
NC_009999	Staphylococcus aureus subsp. aureus USA300 FPR3757
NC_009929	Aeromonas salmonicida subsp. salmonicida A449
NC_008054	Leptospira borgpetersenii serovar Hardjo bovis JB197
NC_010475	Bacillus weihenstephanensis KBAB4
NC_010506	Burkholderia phymatum STM815
NC_004432	Chlorobium luteolum DSM 273
NC_010803	Thermosynechococcus elongatus BP 1
NC_009429	Salmonella enterica subsp. enterica serovar Agona str. SL483
NC_008578	Anabaena variabilis ATCC 29413
NC_009661	Staphylococcus aureus subsp. aureus NCTC 8325
NC_007797	Bordetella pertussis Tohama I
NC_006129	Chlamydophila caviae GPIC
NC_008790	Campylobacter jejuni subsp. jejuni 81 176
NC_008567	Shewanella sediminis HAW EB3
NC_008341	Marinomonas sp. MWYL1
NC_011144	Streptomyces griseus subsp. griseus NBRC 13350
NC_005061	Mycobacterium gilvum PYR GCK
NC_000917	Borrelia burgdorferi B31
NC_008711	Burkholderia sp. 383
NC_008321	Thermotoga lettingae TMO
NC_002939	Bacillus subtilis subsp. subtilis str. 168
NC_009525	Prochlorococcus marinus str. MIT 9301
NC_009707	Campylobacter jejuni subsp. doylei 269.97
NC_006511	Shewanella baltica OS185
NC_007332	Prochlorococcus marinus str. MIT 9515
NC_008817	Ralstonia eutropha JMP134
NC_008463	Rhizobium etli CIAT 652
NC_011283	Legionella pneumophila str. Paris
NC_007974	Picrophilus torridus DSM 9790
NC_007432	Streptococcus suis 05ZYH33
NC_009635	Methylobacillus flagellatus KT
NC_006576	Yersinia pestis Pestoides F
NC_002973	Neisseria gonorrhoeae NCCP11945
NC_000964	Sinorhizobium meliloti 1021
NC_010609	Listeria monocytogenes EGD e
NC_009776	Magnetospirillum magneticum AMB 1
NC_009828	Rickettsia conorii str. Malish 7
NC_008758	Yersinia enterocolitica subsp. enterocolitica 8081
NC_009052	Staphylococcus aureus subsp. aureus N315
NC_005303	Corynebacterium diphtheriae NCTC 13129
NC_002950	Pseudomonas syringae pv. phaseolicola 1448A
NC_003911	Granulibacter bethesdensis CGDNIH1
NC_007509	Bartonella bacilliformis KC583
NC_008738	Candidatus Solibacter usitatus Ellin6076
NC_002695	Francisella tularensis subsp. mediasiatica FSC147
NC_005955	Shewanella amazonensis SB2B
NC_010577	Vibrio cholerae O395
NC_010369	Gluconacetobacter diazotrophicus PAl 5
NC_002570	Sinorhizobium meliloti 1021
NC_010723	Clostridium botulinum E3 str. Alaska E43
NC_008509	Mycobacterium tuberculosis H37Ra
NC_006085	Zymomonas mobilis subsp. mobilis ZM4
NC_010556	Geobacter lovleyi SZ
NC_009802	Streptomyces coelicolor A3 2 
NC_009486	Shewanella loihica PV 4
NC_008265	Clostridium phage phiSM101
NC_009454	Burkholderia vietnamiensis G4
NC_009348	Anaplasma phagocytophilum HZ
NC_007799	Natronomonas pharaonis DSM 2160
NC_008095	Desulfotalea psychrophila LSv54
NC_010815	Burkholderia phymatum STM815
NC_010730	Proteus mirabilis HI4320
NC_003888	Burkholderia phytofirmans PsJN
NC_003028	Synechococcus elongatus PCC 7942
NC_007297	Yersinia pseudotuberculosis PB1  
NC_006394	Synechocystis sp. PCC 6803
NC_002689	Synechococcus sp. CC9605
NC_009953	Wolbachia endosymbiont of Drosophila melanogaster
NC_003901	Halobacterium salinarum R1
NC_003385	Lactobacillus johnsonii NCC 533
NC_011204	Shigella boydii CDC 3083 94
NC_007960	Mycobacterium sp. MCS
NC_009720	Borrelia afzelii PKo
NC_004545	Buchnera aphidicola str. Bp  Baizongia pistaciae 
NC_010364	Leptothrix cholodnii SP 6
NC_009228	Bradyrhizobium sp. BTAi1
NC_010336	Polynucleobacter necessarius subsp. necessarius STIR1
NC_005296	Salmonella enterica subsp. enterica serovar Newport str. SL254
NC_006448	Yersinia pestis Nepal516
NC_002488	Ureaplasma parvum serovar 3 str. ATCC 700970
NC_006322	Bacillus licheniformis ATCC 14580
NC_007103	Bacillus cereus E33L
NC_007427	Mycobacterium smegmatis str. MC2 155
NC_004343	Neisseria gonorrhoeae FA 1090
NC_008544	Burkholderia cenocepacia HI2424
NC_009440	Maricaulis maris MCS10
NC_007493	Salmonella enterica subsp. enterica serovar Choleraesuis str. SC B67
NC_007488	Rickettsia rickettsii str. Iowa
NC_009837	Escherichia coli APEC O1
NC_010994	Rhodobacter sphaeroides 2.4.1
NC_008148	Novosphingobium aromaticivorans DSM 12444
NC_006908	Cyanothece sp. ATCC 51142
NC_009079	Burkholderia mallei NCTC 10247
NC_009505	Roseobacter denitrificans OCh 114
NC_000908	Pelobacter carbinolicus DSM 2380
NC_009670	Nitrobacter hamburgensis X14
NC_008836	Burkholderia mallei NCTC 10229
NC_002771	Photobacterium profundum SS9
NC_001318	Rhodopirellula baltica SH 1
NC_010482	Cellvibrio japonicus Ueda107
NC_010683	Rickettsia akari str. Hartford
NC_006932	Brucella abortus bv. 1 str. 9 941
NC_003485	Yersinia pestis Angola
NC_009698	Clostridium botulinum A str. Hall
NC_009376	Thermofilum pendens Hrk 5
NC_010531	Proteus mirabilis HI4320
NC_006624	Shewanella sp. ANA 3
NC_007946	Helicobacter pylori J99
NC_009254	Clostridium kluyveri DSM 555
NC_010183	Shewanella woodyi ATCC 51908
NC_010079	Streptococcus pyogenes MGAS10394
NC_007622	Streptococcus pyogenes M1 GAS
NC_011004	Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7
NC_001264	Caulobacter sp. K31
NC_008062	Burkholderia cenocepacia AU 1054
NC_011134	Sodalis glossinidius str.  morsitans 
NC_004722	Bacillus cereus ATCC 14579
NC_009927	Aeromonas salmonicida subsp. salmonicida A449
NC_010658	Staphylococcus epidermidis ATCC 12228
NC_002929	Carboxydothermus hydrogenoformans Z 2901
NC_003240	Polaromonas naphthalenivorans CJ2
NC_010167	Brucella suis ATCC 23445
NC_006958	Corynebacterium glutamicum ATCC 13032
NC_010508	Burkholderia cenocepacia MC0 3
NC_010408	Clavibacter michiganensis subsp. sepedonicus
NC_010321	Nostoc punctiforme PCC 73102
NC_008391	Lactobacillus salivarius UCC118
NC_011000	Burkholderia cenocepacia J2315
NC_005027	Clostridium novyi NT
NC_008278	Serratia proteamaculans 568
NC_007512	Dehalococcoides sp. CBDB1
NC_011294	Shigella boydii CDC 3083 94
NC_010086	Burkholderia multivorans ATCC 17616
NC_010805	Burkholderia multivorans ATCC 17616
NC_010678	Campylobacter hominis ATCC BAA 381
NC_008750	Paracoccus denitrificans PD1222
NC_009790	Escherichia coli E24377A
NC_008358	Synechococcus sp. RCC307
NC_007181	Coprothermobacter proteolyticus DSM 5265
NC_009439	Syntrophomonas wolfei subsp. wolfei str. Goettingen
NC_008571	Microcystis aeruginosa NIES 843
NC_009513	Leptospira borgpetersenii serovar Hardjo bovis L550
NC_007929	Cupriavidus metallidurans CH34
NC_007514	Desulfovibrio alaskensis G20
NC_006855	Shewanella baltica OS155
NC_008042	Oenococcus oeni PSU 1
NC_008209	Burkholderia ambifaria AMMD
NC_000962	Prochlorococcus marinus str. MIT 9303
NC_010511	Francisella philomiragia subsp. philomiragia ATCC 25017
NC_007086	Vibrio fischeri ES114
NC_008599	Pelotomaculum thermopropionicum SI
NC_010400	Acidovorax citrulli AAC00 1
NC_007712	Sulfolobus solfataricus P2
NC_008826	Vibrio harveyi ATCC BAA 1116
NC_007624	Brucella melitensis biovar Abortus 2308
NC_002737	Yersinia pseudotuberculosis IP 32953
NC_010278	Actinobacillus pleuropneumoniae serovar 3 str. JL03
NC_009495	Clostridium botulinum A str. ATCC 3502
NC_010001	Burkholderia ambifaria MC40 6
NC_008255	Ochrobactrum anthropi ATCC 49188
NC_009614	Burkholderia vietnamiensis G4
NC_002516	Rhizobium etli CFN 42
NC_005364	Cyanothece sp. ATCC 51142
NC_008118	Thermus thermophilus HB27
NC_007795	Streptococcus pneumoniae R6
NC_003277	Lactobacillus sakei subsp. sakei 23K
NC_000854	Thermotoga sp. RQ2
NC_003098	Synechococcus elongatus PCC 7942
NC_007953	Deinococcus geothermalis DSM 11300
NC_008343	Mannheimia succiniciproducens MBEL55E
NC_007205	Marinobacter aquaeolei VT8
NC_008697	Sinorhizobium medicae WSM419
NC_009664	Chromohalobacter salexigens DSM 3043
NC_008573	Brucella canis ATCC 23365
NC_008770	Campylobacter jejuni subsp. jejuni 81 176
NC_003106	uncultured methanogenic archaeon RC I
NC_008789	Sinorhizobium medicae WSM419
NC_011312	Aromatoleum aromaticum EbN1
NC_009955	Methanosarcina acetivorans C2A
NC_009840	Pseudomonas syringae pv. tomato str. DC3000
NC_007930	Cupriavidus metallidurans CH34
NC_005815	Tropheryma whipplei str. Twist
NC_011206	Alkaliphilus oremlandii OhILAs
NC_004551	Acinetobacter baumannii AYE
NC_007292	Shewanella sp. W3 18 1
NC_007481	Neorickettsia sennetsu str. Miyayama
NC_004842	Azorhizobium caulinodans ORS 571
NC_011386	Rhodococcus jostii RHA1
NC_009972	Bordetella petrii DSM 12804
NC_006349	Burkholderia mallei ATCC 23344
NC_011246	Parvibaculum lavamentivorans DS 1
NC_009257	Klebsiella pneumoniae 342
NC_006362	Clostridium tetani E88
NC_009050	Salmonella enterica subsp. enterica serovar Gallinarum str. 287 91
NC_009659	Ruegeria sp. TM1040
NC_009622	Burkholderia vietnamiensis G4
NC_010981	Roseobacter denitrificans OCh 114
NC_005125	Bacteroides thetaiotaomicron VPI 5482
NC_010612	Nostoc punctiforme PCC 73102
NC_009726	Coxiella burnetii Dugway 5J108 111
NC_009883	Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633
NC_004459	Acaryochloris marina MBIC11017
NC_006461	Acinetobacter baumannii ACICU
NC_010717	Vibrio vulnificus YJ016
NC_004349	Listeria innocua Clip11262
NC_011274	Shigella boydii Sb227
NC_002942	Mycobacterium avium 104
NC_008536	Burkholderia vietnamiensis G4
NC_008027	Chloroflexus aurantiacus J 10 fl
NC_009512	Prochlorococcus marinus str. AS9601
NC_007490	Salmonella enterica subsp. enterica serovar Choleraesuis str. SC B67
NC_010557	Opitutus terrae PB90 1
NC_000091	Vibrio cholerae O1 biovar El Tor str. N16961
NC_007164	Methylobacterium extorquens PA1
NC_006369	Methanococcus maripaludis C6
NC_007577	Ralstonia eutropha JMP134
NC_004088	Xanthomonas campestris pv. campestris str. B100
NC_003903	Borrelia hermsii DAH
NC_008751	Desulfovibrio vulgaris DP4
NC_010003	Renibacterium salmoninarum ATCC 33209
NC_011059	Cronobacter sakazakii ATCC BAA 894
NC_008784	Burkholderia mallei SAVP1
NC_010681	Haemophilus ducreyi 35000HP
NC_008044	Pseudoalteromonas atlantica T6c
NC_006350	Burkholderia pseudomallei K96243
NC_008212	Jannaschia sp. CCS1
NC_003454	Gloeobacter violaceus PCC 7421
NC_009140	Shigella flexneri 2a str. 301
NC_002935	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293
NC_007354	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
NC_009431	Salmonella enterica subsp. enterica serovar Dublin str. CT 02021853
NC_004851	Yersinia pestis CO92
NC_003116	Pseudomonas aeruginosa PA7
NC_009567	Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA 365
NC_007645	Bordetella bronchiseptica RB50
NC_009483	Pyrobaculum arsenaticum DSM 13514
NC_002745	Streptococcus pneumoniae Hungary19A 6
NC_009338	Paracoccus denitrificans PD1222
NC_009073	Staphylothermus marinus F1
NC_010628	Borrelia turicatae 91E135
NC_009467	Akkermansia muciniphila ATCC BAA 835
NC_009438	Nitrosomonas eutropha C91
NC_002607	Erythrobacter litoralis HTCC2594
NC_000117	Chlamydia trachomatis D UW 3 CX
NC_008639	Chlorobium phaeobacteroides DSM 266
NC_009613	Polaromonas sp. JS666
NC_010623	Prosthecochloris aestuarii DSM 271
NC_003155	Burkholderia phytofirmans PsJN
NC_009704	Yersinia pestis biovar Microtus str. 91001
NC_011071	Streptococcus pyogenes MGAS8232
NC_009829	Burkholderia xenovorans LB400
NC_002952	Streptococcus pyogenes MGAS10750
NC_011148	Shewanella baltica OS195
NC_010655	Anaeromyxobacter dehalogenans 2CP C
NC_011313	Aromatoleum aromaticum EbN1
NC_010480	Exiguobacterium sibiricum 255 15
NC_011295	Haloarcula marismortui ATCC 43049
NC_010120	Ralstonia eutropha H16
NC_007901	Nitrobacter winogradskyi Nb 255
NC_002928	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
NC_011244	Shewanella pealeana ATCC 700345
NC_010170	Cupriavidus taiwanensis LMG 19424
NC_007764	Rhodobacter sphaeroides 2.4.1
NC_002967	Enterococcus faecalis V583
NC_005861	Corynebacterium efficiens YS 314
NC_010845	Mycobacterium bovis BCG str. Pasteur 1173P2
NC_009497	Enterobacter sp. 638
NC_010995	Borrelia duttonii Ly
NC_008260	Arthrobacter sp. FB24
NC_010084	Burkholderia multivorans ATCC 17616
NC_006578	Bacillus thuringiensis serovar konkukian str. 97 27
NC_008322	Nitrosopumilus maritimus SCM1
NC_010741	Acinetobacter baumannii AYE
NC_010381	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305
NC_008713	Burkholderia sp. 383
NC_006371	Deinococcus radiodurans R1
NC_010320	Clostridium phytofermentans ISDg
NC_004369	Sorangium cellulosum  So ce 56 
NC_006841	Acidiphilium cryptum JF 5
NC_010399	Clavibacter michiganensis subsp. sepedonicus
NC_009524	Thermofilum pendens Hrk 5
NC_010181	Methylobacterium radiotolerans JCM 2831
NC_008021	Yersinia pestis Angola
NC_007435	Burkholderia pseudomallei 1710b
NC_010580	Ralstonia pickettii 12J
NC_009487	Streptococcus agalactiae NEM316
NC_008538	Nostoc sp. PCC 7120
NC_000853	Synechococcus sp. JA 2 3B a 2 13 
NC_010816	Bifidobacterium longum DJO10A
NC_008526	Leptospira borgpetersenii serovar Hardjo bovis JB197
NC_002128	Francisella tularensis subsp. holarctica OSU18
NC_005871	Dehalococcoides ethenogenes 195
NC_007489	Rickettsia rickettsii str.  Sheila Smith 
NC_003065	Anaeromyxobacter sp. K
NC_007899	Nocardia farcinica IFM 10152
NC_010644	Streptococcus equi subsp. zooepidemicus MGCS10565
NC_000911	Mycobacterium vanbaalenii PYR 1
NC_009468	Alcanivorax borkumensis SK2
NC_010337	Thermoproteus neutrophilus V24Sta
NC_009485	Pseudomonas stutzeri A1501
NC_010602	Pseudomonas putida F1
NC_003922	Finegoldia magna ATCC 29328
NC_006347	Bacteroides fragilis YCH46
NC_005128	Acaryochloris marina MBIC11017
NC_002945	Porphyromonas gingivalis W83
NC_008577	Brucella canis ATCC 23365
NC_002940	Bdellovibrio bacteriovorus HD100
NC_010546	Gramella forsetii KT0803
NC_009783	Sphingomonas wittichii RW1
NC_007908	Natronomonas pharaonis DSM 2160
NC_010172	Synechococcus sp. PCC 7002
NC_010831	Chlorobium phaeobacteroides BS1
NC_008782	Actinobacillus succinogenes 130Z
NC_009932	Agrobacterium tumefaciens str. C58
NC_006833	Fusobacterium nucleatum subsp. nucleatum ATCC 25586
NC_008709	Dinoroseobacter shibae DFL 12
NC_007519	Halobacterium salinarum R1
NC_010125	Lactobacillus fermentum IFO 3956
NC_007925	Salmonella enterica subsp. enterica serovar Heidelberg str. SL476
NC_009080	Burkholderia mallei NCTC 10247
NC_010379	Clostridium botulinum B1 str. Okra
NC_008595	Orientia tsutsugamushi str. Boryong
NC_010718	Gluconobacter oxydans 621H
NC_008699	Sinorhizobium medicae WSM419
NC_009975	Neisseria meningitidis FAM18
NC_007955	Deinococcus geothermalis DSM 11300
NC_007777	Mycoplasma gallisepticum str. R low 
NC_009632	Streptococcus agalactiae A909
NC_010102	Staphylococcus aureus subsp. aureus COL
NC_008369	Klebsiella pneumoniae subsp. pneumoniae MGH 78578
NC_003198	Idiomarina loihiensis L2TR
NC_004757	Chromobacterium violaceum ATCC 12472
NC_010080	Thermoanaerobacter pseudethanolicus ATCC 33223
NC_004463	Polaromonas naphthalenivorans CJ2
NC_009900	Vibrio parahaemolyticus RIMD 2210633
NC_006368	Methanococcus maripaludis S2
NC_007951	Sphingopyxis alaskensis RB2256
NC_008601	Klebsiella pneumoniae subsp. pneumoniae MGH 78578
NC_007274	Rhizobium leguminosarum bv. trifolii WSM2304
NC_009255	Clostridium kluyveri DSM 555
NC_008497	Dehalococcoides sp. BAV1
NC_010552	Ureaplasma parvum serovar 3 str. ATCC 27815
NC_002663	Corynebacterium jeikeium K411
NC_007677	Helicobacter hepaticus ATCC 51449
NC_008344	Ochrobactrum anthropi ATCC 49188
NC_007984	Pyrobaculum aerophilum str. IM2
NC_006370	Deinococcus radiodurans R1
NC_009481	Mycobacterium sp. KMS
NC_004565	Xanthomonas axonopodis pv. citri str. 306
NC_003272	Polaromonas naphthalenivorans CJ2
NC_005362	Shigella sonnei Ss046
NC_008270	Nocardia farcinica IFM 10152
NC_009135	Neisseria meningitidis 053442
NC_007971	Pseudoalteromonas haloplanktis TAC125
NC_002936	Caldivirga maquilingensis IC 167
NC_009675	Borrelia garinii PBi
NC_004113	Synechococcus sp. CC9902
NC_004311	Brucella suis 1330
NC_010418	Clostridium botulinum A3 str. Loch Maree
NC_011138	Arthrobacter aurescens TC1
NC_004578	Rhizobium leguminosarum bv. trifolii WSM2304
NC_010157	Xanthomonas oryzae pv. oryzae KACC10331
NC_008253	Escherichia coli 536
NC_011366	Rhodobacter sphaeroides ATCC 17029
NC_007105	Bacillus cereus E33L
NC_009508	Wolbachia endosymbiont of Culex quinquefasciatus Pel
NC_009641	Streptococcus pneumoniae TIGR4
NC_010660	Staphylococcus aureus subsp. aureus MSSA476
NC_008563	Escherichia coli APEC O1
NC_007294	Photobacterium profundum SS9
NC_010368	Gluconacetobacter diazotrophicus PAl 5
NC_002655	Francisella novicida U112
NC_009939	Rhodospirillum centenum SW
NC_011080	Shigella flexneri 2a str. 2457T
NC_000958	Caulobacter sp. K31
NC_008314	Rhizobium etli CFN 42
NC_010843	Pseudomonas putida GB 1
NC_009850	Borrelia burgdorferi B31
NC_009380	Geobacillus thermodenitrificans NG80 2
NC_007775	Salmonella enterica subsp. enterica serovar Typhi str. CT18
NC_008618	Haloarcula marismortui ATCC 43049
NC_011092	Staphylococcus aureus subsp. aureus JH1
NC_007337	Rhizobium leguminosarum bv. viciae 3841
NC_008261	Clostridium perfringens ATCC 13124
NC_010674	Clostridium botulinum B str. Eklund 17B
NC_008611	Methanothermobacter thermautotrophicus str. Delta H
NC_004129	Rhizobium etli CIAT 652
NC_010280	Chlamydia trachomatis L2b UCH 1 proctitis
NC_009075	Burkholderia pseudomallei 668
NC_008014	Pyrococcus furiosus DSM 3638
NC_004605	Enterococcus faecalis V583
NC_007005	Rhizobium leguminosarum bv. trifolii WSM2304
NC_010465	Xylella fastidiosa Temecula1
NC_002927	Syntrophobacter fumaroxidans MPOB
NC_007356	Shewanella halifaxensis HAW EB4
NC_009922	Arthrobacter sp. FB24
NC_011420	Rhodococcus jostii RHA1
NC_010998	Rhodobacter sphaeroides ATCC 17025
NC_011351	Helicobacter pylori 26695
NC_011371	Rhodopseudomonas palustris BisA53
NC_007384	Lysinibacillus sphaericus C3 41
NC_002179	Chlamydophila pneumoniae AR39
NC_002755	Prochlorococcus marinus str. MIT 9211
NC_009655	Aromatoleum aromaticum EbN1
NC_007406	Chlorobium chlorochromatii CaD3
NC_004632	Rhizobium leguminosarum bv. trifolii WSM2304
NC_008229	Methanospirillum hungatei JF 1
NC_004307	Bifidobacterium longum NCC2705
NC_010688	Vibrio fischeri ES114
NC_005863	Desulfovibrio vulgaris str. Hildenborough
NC_007608	Staphylococcus epidermidis RP62A
NC_010997	Rhodobacter sphaeroides ATCC 17025
NC_007429	Chlamydia trachomatis A HAR 13
NC_007793	Streptococcus pyogenes MGAS10270
NC_006274	Bacillus cereus E33L
NC_011353	Haemophilus somnus 2336
NC_009806	Ruegeria sp. TM1040
NC_009565	Prochlorococcus marinus str. MIT 9215
NC_009705	Xylella fastidiosa 9a5c
NC_006177	Bifidobacterium adolescentis ATCC 15703
NC_006513	Burkholderia thailandensis E264
NC_008023	Yersinia pseudotuberculosis IP 31758
NC_010742	Brucella abortus S19
NC_009957	Ralstonia solanacearum GMI1000
NC_002490	Ureaplasma urealyticum serovar 10 str. ATCC 33699
NC_010625	Prosthecochloris aestuarii DSM 271
NC_005085	Methanosarcina mazei Go1
NC_009078	Burkholderia pseudomallei 1106a
NC_008309	Lactobacillus reuteri DSM 20016
NC_010582	Streptococcus thermophilus CNRZ1066
NC_008512	Thermotoga petrophila RKU 1
NC_008527	Leptospira interrogans serovar Lai str. 56601
NC_008819	Rhizobium etli CFN 42
NC_009445	Mycobacterium sp. KMS
NC_011185	Acidiphilium cryptum JF 5
NC_009457	Acaryochloris marina MBIC11017
NC_004741	Yersinia pestis CO92
NC_011416	Haemophilus influenzae PittEE
NC_009958	Rhodospirillum rubrum ATCC 11170
NC_009785	Streptomyces coelicolor A3 2 
NC_010333	Lactobacillus helveticus DPC 4571
NC_007641	Rhodospirillum rubrum ATCC 11170
NC_003296	Ralstonia solanacearum GMI1000
NC_007109	Rickettsia felis URRWXCal2
NC_006055	Mesoplasma florum L1
NC_002679	Mesorhizobium loti MAFF303099
NC_003103	Rickettsia conorii str. Malish 7
NC_002682	Mesorhizobium loti MAFF303099
NC_003295	Ralstonia solanacearum GMI1000
NC_000916	Methanothermobacter thermautotrophicus str. Delta H
NC_003552	Methanosarcina acetivorans C2A
NC_006142	Rickettsia typhi str. Wilmington
NC_007110	Rickettsia felis URRWXCal2
NC_007626	Magnetospirillum magneticum AMB 1
NC_002678	Mesorhizobium loti MAFF303099
NC_006300	Mannheimia succiniciproducens MBEL55E
NC_007643	Rhodospirillum rubrum ATCC 11170
NC_004350	Streptococcus mutans UA159
NC_003551	Methanopyrus kandleri AV19
NC_000909	Methanocaldococcus jannaschii DSM 2661
NC_000963	Rickettsia prowazekii str. Madrid E
